Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTEDl21_0p0_0d0_12,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_0,C_DIV_BUY_SSl21_0p0_0d0_12,C_DIV_CONN_DATAl21_0p0_0d0_12,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_06,C_DIV_GETNOW_CONNl21_0p0_0d0_0,C_DIV_GETNOW_ESSl21_0p0_0d0_06,C_DIV_GETNOW_PREMl21_0p0_0d0_06,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_06,C_PP_PKG_CONNECTEDl21_0p0_0d0_12,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_06,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_06,C_PP_PKG_SSl21_0p0_0d0_06,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_REMOTEl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_HDStreamingl21_0p0_0d0_12,DIV_PKG_SS_CRASHl21_0p0_0d0_06,DIV_PKG_SS_ROADSIDEl21_0p0_0d0_0,DIV_PLANPAGE_CONNl21_0p0_0d0_0,DIV_PLANPAGE_ESSl21_0p0_0d0_0,DIV_PLANPAGE_HOMEl21_0p0_0d0_06,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_ESSl21_0p0_0d0_06,OC_PAGE_PREFl21_0p0_0d0_06,OC_PAGE_PREMl21_0p0_0d0_0,SC_BUYNOWl21_0p0_0d0_06,SC_SHOPNOWl21_0p0_0d0_12
1/1/2024,354,-2.127082512,-2.561217871,-2.131126183,-2.219053709,-0.878547855,-1.277200108,-1.827179237,-0.86777226,-1.091018095,0.402982805,-1.06498187,-1.599307615,-2.767637961,-1.736326313,-1.363024209,-0.231110676,-1.18533024,-1.694305839,-1.524646242,-0.093672924,-0.616285964,1.05375835,0.143966916,0.799645626,-2.235556634,-1.548635115,-1.797474878,-2.911630538,-1.073318074,-2.570864864,-1.364773254,-0.149077636,-0.422285256
1/2/2024,1151,-1.630256387,-1.736618623,-1.709754978,-1.697808056,0.17402509,-1.543706756,-1.183599768,-1.021791219,-0.790923037,0.826958282,-0.479786565,-1.343743007,-0.193983923,-0.359865301,0.306839946,0.465535847,-0.452580637,1.121482111,1.105546778,1.357346288,-0.223801095,2.199739769,1.001732584,1.733687738,-0.641649252,0.803958744,-0.439094264,-0.167125944,3.593769152,-1.39637994,-0.491114946,-0.911401033,-1.143448205
1/3/2024,1259,-1.385983542,-0.721010509,-0.656326964,-1.777235965,-1.47448989,0.34287978,-0.861810033,-0.94478174,0.905119818,0.319245445,-0.863980005,1.037757272,-0.43200973,0.284004123,1.110339287,1.059734353,0.280168966,1.871238187,-0.690107021,0.926350482,-0.223801095,1.565157224,0.55056014,1.349082162,-0.070570137,0.308006525,-0.000536756,-0.294313877,0.82727798,-1.190383893,-0.402384024,-0.149077636,-0.422285256
1/4/2024,1210,-0.998873187,-1.075075723,-1.428840841,-0.799279836,-0.135555188,-1.003680127,0.591990017,-0.598239082,-0.848244565,0.816380931,-1.34146545,-0.855230129,-0.725822835,0.661707052,0.473662649,0.772879902,-0.023991247,0.561686656,-1.056961023,0.452255096,-0.393934021,0.635680438,0.866457711,1.147622099,-0.377418617,0.269856354,-0.251329188,-0.809219864,0.025377467,-1.098146857,-0.616248298,-0.911401033,-0.323944854
1/5/2024,1200,-0.644884572,-2.06273132,-1.709754978,-0.80424408,-0.336782369,1.086293062,-0.471065356,-0.136182205,-0.959515766,0.231100856,-1.392351998,-1.655848457,-0.660737654,-0.377609734,0.883106792,0.793369506,-0.044729443,1.573689251,-1.129902754,0.958675168,-0.392249537,1.70140583,1.386804806,1.257509406,-0.12171155,0.93112598,-0.394692904,-0.765847021,-0.142991028,-1.428523149,-0.504765857,3.905834053,0.495558497
1/6/2024,1185,-1.953193369,-1.708666106,-1.709754978,-1.56377346,0.003755937,0.83381308,-1.114644825,-0.598239082,-1.128108495,0.767019961,-1.201527442,-1.13114944,-0.78904844,0.19021212,0.03425918,0.608963073,0.300907162,-0.293976667,-1.503192791,0.800643372,-0.181688985,0.95483813,0.41759109,0.781331075,-0.846214905,-0.416846718,-0.759781211,-0.453738383,-0.737601498,-1.029388339,-0.436511302,1.764840681,1.413402249
1/7/2024,948,-1.804145531,-1.652761072,-1.779983512,-1.156705426,-1.304220737,-0.456640165,-0.57449777,-1.368333877,0.210517774,0.360673402,-1.348250323,0.71208202,-1.642594107,-0.803476125,-0.640398682,0.219660604,-1.406537667,0.59867014,-1.496756756,0.570778943,-0.32487016,1.221736083,0.088627195,0.726387421,-1.894613879,-0.734764807,-1.016406025,-1.373066831,-0.787383179,-2.05238092,-0.930219252,-0.814083153,-0.12726405
1/8/2024,1163,-1.766883572,-1.186885791,-1.779983512,-0.724816171,0.27463868,-0.603920155,-0.540020299,-0.94478174,-1.057299549,1.083459038,-1.411010399,-0.762503148,-0.906201767,0.207956553,-0.047433194,1.059734353,-0.127682228,-0.349451893,-1.117030684,1.195722861,-0.240645939,0.846585813,0.725802588,1.001105689,-0.769502785,-0.722048083,-0.696565714,-1.106968574,-0.12863233,-1.891664872,-0.554819198,0.661904702,-1.143448205
1/9/2024,1249,-1.508119965,1.431333291,-1.358612306,0.685029213,-0.483833001,2.026079664,-0.827332562,-0.675248561,-0.632445872,1.657280317,-0.970841756,0.499488453,-1.038231707,0.915198951,1.570206778,1.592464048,0.646543767,-0.494023692,-1.250042076,1.407629132,-0.308025316,1.0294949,1.956342763,1.458969469,0.304466895,0.981992874,0.071333243,-0.633384012,-0.311359524,-1.528865864,-0.472913731,-0.862742093,-1.241788607
1/10/2024,1134,-0.545519347,0.224716312,-0.234955758,-0.143999587,-0.986900952,1.991013,-0.844571298,-0.94478174,0.746642653,1.909373843,-1.256654536,0.015498843,-0.043358217,0.223166067,2.180689468,1.346588804,0.342383555,0.761733681,-1.172809655,0.822193162,-0.296233925,2.2706637,1.412937451,1.294138509,0.176613361,1.249044069,0.323160452,-0.752659332,-0.175279878,-1.745483146,-0.377357354,1.47288704,-0.422285256
